,EQR
% Above Low,0.2942
% Held by Institutions,0.9336
52-Wk Range,['49.62 - 89.55']
Annual Dividend $,2.41
Annual Dividend %,0.0382
Ask,69.99
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.7
Bid,64.0
Bid Size,100.0
Closing Price,64.22
Day Change $,1.17
Day Change %,0.018600000000000002
Day High,65.07
Day Low,63.2
Dividend Pay Date,2020-04-13 00:00:00
"EPS (TTM, GAAP)",3.11
Ex-dividend,2020-03-20 00:00:00
Ex-dividend Date,03/20/20
Historical Volatility,0.41000000000000003
Last (size),57700.0
Last (time),6:30p ET 05/08/20
Market Cap,23.9B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",20.26
Prev Close,63.05
Shares Outstanding,372.1M
Short Interest,0.0139
Today's Open,64.22
Volume,2169254.0
Volume 10-day Avg,2417720.0
Volume Past Day,(Below Average)
