,ESS
% Above Low,0.4029
% Held by Institutions,0.9784
52-Wk Range,['175.81 - 334.17']
Annual Dividend $,8.31
Annual Dividend %,0.0334
Ask,302.01
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,210.0
Bid Size,100.0
Closing Price,246.65
Day Change $,-2.41
Day Change %,-0.0097
Day High,254.84
Day Low,245.44
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",9.62
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.43100000000000005
Last (size),10900.0
Last (time),6:30p ET 05/08/20
Market Cap,16.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",25.9
Prev Close,249.06
Short Interest,0.0124
Today's Open,252.97
Volume,367391.0
Volume 10-day Avg,410091.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.04508196721311475
Growth 2yr High Est,0.14109347442680775
Growth 2yr Consensus Est,0.0480057536068465
Growth 5yr Low Est,-0.04508196721311475
Growth 5yr High Est,0.14109347442680775
Growth 5yr Consensus Est,0.0480057536068465
Growth 5yr Actual/Est,-0.028418100129400325
Growth 3yr Historic,0.008403632329799016
Price/Earnings (TTM),25.90163
Price/Sales (TTM),11.01594
Price/Book (MRQ),2.61579
Price/Cash Flow (TTM),14.17966
5yr Low,175.81
5yr High,334.17
5yr Avg Return,0.021433333333333332
EPS Growth 5yr,0.2644432
Revenue Growth 5yr,0.0850294
Dividend Growth 5yr,0.08960760000000001
Short Int Current Month,802697.0
Short Int Prev Month,777708.0
Short Int Pct of Float,0.0123919
Days to Cover,1.41217
Float,65.55184
Shares Outstanding,66.18137
Institutions Holding Shares,779.0
FCF Growth 5yr,-0.1234528418745264
"Price/Earnings (TTM, GAAP)",25.9
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.7283
Operating Profit Margin (TTM),0.3335
Net Profit Margin (TTM),0.4462
Annual Dividend Yield,0.0334
Dividend Change %,0.0518
"Dividend Growth Rate, 3 Years",0.0731
EPS Growth (MRQ),1.4465000000000001
EPS Growth (TTM),0.5179
Revenue Growth (MRQ),0.0453
Revenue Growth (TTM),0.061900000000000004
Return On Equity (TTM),0.1023
Return On Assets (TTM),0.0513
Return On Investment (TTM),0.054000000000000006
Revenue Per Employee (TTM),821240.0
Total Debt/Total Capital (MRQ),0.5017
Change in Debt/Total Capital Quarter over Quarter,0.0001
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.53
newConstructs,3
researchTeam,reduce
theStreet,buy
cfra,4
ford,3
marketEdge opinion,avoid
marketEdge,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-23 00:00:00
theStreet since,2013-02-04 00:00:00
cfra since,2018-08-02 00:00:00
ford since,2020-04-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
