,ETFC
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-0.39632545931758534
Growth 1yr High Est,-0.18734177215189873
Growth 1yr Consensus Est,-0.29183361573474204
Growth 2yr Low Est,-0.3068583818327057
Growth 2yr High Est,-0.14818802003233567
Growth 2yr Consensus Est,-0.22752320093252068
Growth 5yr Low Est,0.02133584667763208
Growth 5yr High Est,0.1043521676583537
Growth 5yr Consensus Est,0.06284400716799289
Growth 5yr Actual/Est,0.06486110047027846
Growth 3yr Historic,0.15908395946182075
