,ETFC
Price/Earnings (TTM),11.54808
Price/Sales (TTM),2.87138
Price/Book (MRQ),1.51538
Price/Cash Flow (TTM),8.73046
5yr Low,19.61
5yr High,66.46
5yr Avg Return,0.07375
EPS Growth 5yr,0.3101478
Revenue Growth 5yr,0.0923653
Dividend Growth 5yr,
Short Int Current Month,11334383.0
Short Int Prev Month,11378368.0
Short Int Pct of Float,0.051729500000000005
Days to Cover,2.24234
Float,219.1631
Shares Outstanding,221.0464
Institutions Holding Shares,671.0
% Held by Institutions,0.9389149999999999
FCF Growth 5yr,0.7642077857836835
