,ETR
% Above Low,0.2635
% Held by Institutions,0.8623999999999999
52-Wk Range,['75.20 - 135.55']
Annual Dividend $,3.72
Annual Dividend %,0.0401
Ask,98.3
Ask Size,800.0
B/A Ratio,0.125
B/A Size,100x800
Beta,0.6
Bid,75.47
Bid Size,100.0
Closing Price,95.01
Day Change $,2.24
Day Change %,0.0241
Day High,95.66
Day Low,92.92
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",6.28
Ex-dividend,2020-05-06 00:00:00
Ex-dividend Date,05/06/20
Historical Volatility,0.436
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,19.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",14.77
Prev Close,92.77
Short Interest,0.0085
Today's Open,94.01
Volume,1626957.0
Volume 10-day Avg,1316184.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-05-11 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.06367041198501866
Growth 1yr High Est,0.09392265193370175
Growth 1yr Consensus Est,0.015126119974341545
Growth 2yr Low Est,0.03816479400749073
Growth 2yr High Est,0.05369533270085758
Growth 2yr Consensus Est,0.045930063354174155
Growth 5yr Low Est,-0.032184300125995435
Growth 5yr High Est,-0.025042034393942425
Growth 5yr Consensus Est,-0.02861316725996893
Growth 5yr Actual/Est,-0.03830449095708016
Growth 3yr Historic,-0.06150203298373613
Price/Earnings (TTM),14.76775
Price/Sales (TTM),1.71249
Price/Book (MRQ),1.80708
Price/Cash Flow (TTM),5.44164
5yr Low,61.27
5yr High,135.55
5yr Avg Return,0.05483333333333333
EPS Growth 5yr,0.0384431
Revenue Growth 5yr,-0.0273234
Dividend Growth 5yr,0.019691
Short Int Current Month,1701831.0
Short Int Prev Month,2506346.0
Short Int Pct of Float,0.0085004
Days to Cover,1.17963
Float,200.2818
Shares Outstanding,200.8156
Institutions Holding Shares,917.0
FCF Growth 5yr,-0.7737707649942159
"Price/Earnings (TTM, GAAP)",14.77
"PEG Ratio (TTM, GAAP)",2.46
Gross Profit Margin (TTM),0.3009
Operating Profit Margin (TTM),0.1278
Net Profit Margin (TTM),0.11570000000000001
Annual Dividend Yield,0.0401
Dividend Change %,0.0223
"Dividend Growth Rate, 3 Years",0.0229
EPS Growth (MRQ),0.0518
EPS Growth (TTM),0.3557
Revenue Growth (MRQ),-0.21600000000000003
Revenue Growth (TTM),-0.011899999999999999
Return On Equity (TTM),0.1302
Return On Assets (TTM),0.0252
Return On Investment (TTM),0.028300000000000002
Revenue Per Employee (TTM),797849.0
Total Debt/Total Capital (MRQ),0.6548999999999999
Change in Debt/Total Capital Quarter over Quarter,0.0002
Quick Ratio (MRQ),0.37
Interest Coverage (MRQ),5.36
newConstructs,4
researchTeam,reduce
theStreet,buy
cfra,3
ford,3
marketEdge opinion,avoid
marketEdge,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-13 00:00:00
theStreet since,2018-04-26 00:00:00
cfra since,2019-08-01 00:00:00
ford since,2020-02-21 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
