,ETR
Price/Earnings (TTM),14.76775
Price/Sales (TTM),1.71249
Price/Book (MRQ),1.80708
Price/Cash Flow (TTM),5.44164
5yr Low,61.27
5yr High,135.55
5yr Avg Return,0.05483333333333333
EPS Growth 5yr,0.0384431
Revenue Growth 5yr,-0.0273234
Dividend Growth 5yr,0.019691
Short Int Current Month,1701831.0
Short Int Prev Month,2506346.0
Short Int Pct of Float,0.0085004
Days to Cover,1.17963
Float,200.2818
Shares Outstanding,200.8156
Institutions Holding Shares,917.0
% Held by Institutions,0.8623730000000001
FCF Growth 5yr,-0.7737707649942159
