,ETR
% Above Low,0.2635
% Held by Institutions,0.8623999999999999
52-Wk Range,['75.20 - 135.55']
Annual Dividend $,3.72
Annual Dividend %,0.0401
Ask,98.3
Ask Size,800.0
B/A Ratio,0.125
B/A Size,100x800
Beta,0.6
Bid,75.47
Bid Size,100.0
Closing Price,95.01
Day Change $,2.24
Day Change %,0.0241
Day High,95.66
Day Low,92.92
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",6.28
Ex-dividend,2020-05-06 00:00:00
Ex-dividend Date,05/06/20
Historical Volatility,0.436
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,19.1B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",14.77
Prev Close,92.77
Shares Outstanding,200.8M
Short Interest,0.0085
Today's Open,94.01
Volume,1626957.0
Volume 10-day Avg,1316184.0
Volume Past Day,(Heavy Day)
