,EW
% Below High,0.12029999999999999
% Held by Institutions,0.8694
52-Wk Range,['154.52 - 247.64']
Annual Dividend $,
Annual Dividend %,
Ask,235.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,213.03
Bid Size,100.0
Closing Price,217.84
Day Change $,-0.2
Day Change %,-0.0009
Day High,222.18
Day Low,217.22
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.24
Ex-dividend Date,No dividend
Historical Volatility,0.40700000000000003
Last (size),7.0
Last (time),6:30p ET 05/08/20
Market Cap,45.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",41.64
Prev Close,218.04
Short Interest,0.011899999999999999
Today's Open,220.94
Volume,627555.0
Volume 10-day Avg,1077592.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,22.0
Growth 1yr Low Est,-0.14414414414414412
Growth 1yr High Est,-0.07079646017699126
Growth 1yr Consensus Est,-0.10747030216056769
Growth 2yr Low Est,-0.0110194404931247
Growth 2yr High Est,0.16460176991150433
Growth 2yr Consensus Est,0.07679116470918981
Growth 5yr Low Est,0.10529882604585492
Growth 5yr High Est,0.18891409767505046
Growth 5yr Consensus Est,0.14710646186045268
Growth 5yr Actual/Est,0.15250080198562269
Growth 3yr Historic,0.10548712206047034
Price/Earnings (TTM),41.63882
Price/Sales (TTM),10.04465
Price/Book (MRQ),11.54168
Price/Cash Flow (TTM),37.41253
5yr Low,62.53
5yr High,247.64
5yr Avg Return,0.25155
EPS Growth 5yr,0.0576477
Revenue Growth 5yr,0.133579
Dividend Growth 5yr,
Short Int Current Month,2476774.0
Short Int Prev Month,3048383.0
Short Int Pct of Float,0.011921900000000001
Days to Cover,1.7609
Float,205.1789
Shares Outstanding,206.5547
Institutions Holding Shares,1423.0
FCF Growth 5yr,0.18779989421827364
"Price/Earnings (TTM, GAAP)",41.64
"PEG Ratio (TTM, GAAP)",4.06
Gross Profit Margin (TTM),0.7440000000000001
Operating Profit Margin (TTM),0.2745
Net Profit Margin (TTM),0.2477
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),0.1017
EPS Growth (TTM),0.3976
Revenue Growth (MRQ),-0.038700000000000005
Revenue Growth (TTM),0.1734
Return On Equity (TTM),0.3023
Return On Assets (TTM),0.1924
Return On Investment (TTM),0.2188
Revenue Per Employee (TTM),322568.0
Total Debt/Total Capital (MRQ),0.1323
Change in Debt/Total Capital Quarter over Quarter,-0.001
Quick Ratio (MRQ),2.47
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
theStreet,buy
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-17 00:00:00
theStreet since,2014-03-24 00:00:00
cfra since,2020-03-18 00:00:00
ford since,2020-01-31 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-12-17 00:00:00
