,EW
Price/Earnings (TTM),41.63882
Price/Sales (TTM),10.04465
Price/Book (MRQ),11.54168
Price/Cash Flow (TTM),37.41253
5yr Low,62.53
5yr High,247.64
5yr Avg Return,0.25155
EPS Growth 5yr,0.0576477
Revenue Growth 5yr,0.133579
Dividend Growth 5yr,
Short Int Current Month,2476774.0
Short Int Prev Month,3048383.0
Short Int Pct of Float,0.011921900000000001
Days to Cover,1.7609
Float,205.1789
Shares Outstanding,206.5547
Institutions Holding Shares,1423.0
% Held by Institutions,0.86938
FCF Growth 5yr,0.18779989421827364
