,2015,2016,2017,2018,2019,2020,Report
high,83.44,121.75,121.45,175.0,247.64,245.71,
low,62.53,72.2,86.55,110.68,140.86,154.52,
change,0.25370000000000004,0.1997,0.2016,0.3715,0.5357000000000001,-0.0529,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash & Equivalents,718.0,930.0,818.0,714.0,1179.0,,Balance Sheet
Short Term Investments,506.0,341.0,519.0,242.0,338.0,,Balance Sheet
Cash and Short Term Invs,1225.0,1271.0,1338.0,957.0,1517.0,,Balance Sheet
"Trade Accts Recvble, Gross",322.0,424.0,447.0,466.0,552.0,,Balance Sheet
Prov. for Doubtful Accts,-7.0,-9.0,-9.0,-9.0,-9.0,,Balance Sheet
"Trade Accts Recvble, Net",315.0,415.0,439.0,457.0,544.0,,Balance Sheet
Other Receivables,56.0,,41.0,80.0,56.0,,Balance Sheet
"Total Receivables, Net",372.0,415.0,479.0,537.0,599.0,,Balance Sheet
Invent. - Finished Goods,212.0,234.0,332.0,351.0,401.0,,Balance Sheet
Invent. - Work In Progress,64.0,102.0,121.0,145.0,122.0,,Balance Sheet
Invent. - Raw Materials,64.0,61.0,101.0,112.0,118.0,,Balance Sheet
Total Inventory,340.0,397.0,555.0,607.0,641.0,,Balance Sheet
Prepaid Expenses,45.0,46.0,61.0,54.0,59.0,,Balance Sheet
"Other Curr. Assets, Total",66.0,112.0,117.0,132.0,168.0,,Balance Sheet
Total Current Assets,2048.0,2240.0,2549.0,2287.0,2984.0,,Balance Sheet
Buildings,293.0,,,497.0,620.0,,Balance Sheet
Land/Improvements,25.0,,,91.0,98.0,,Balance Sheet
Machinery/Equipment,461.0,,,566.0,590.0,,Balance Sheet
Construction in Progress,75.0,,,169.0,265.0,,Balance Sheet
Other Prop./Plant/Equip.,,,,,80.0,,Balance Sheet
Prop./Plant/Equip. - Gross,854.0,,,1323.0,1653.0,,Balance Sheet
Accumulated Depreciation,-372.0,,,-455.0,-512.0,,Balance Sheet
Prop./Plant/Equip. - Net,483.0,580.0,680.0,868.0,1140.0,,Balance Sheet
"Goodwill, Net",628.0,626.0,1127.0,1112.0,1168.0,,Balance Sheet
