,EXPE
Price/Earnings (TTM),17.75197
Price/Sales (TTM),0.771
Price/Book (MRQ),2.38899
Price/Cash Flow (TTM),6.27778
5yr Low,40.76
5yr High,161.0
5yr Avg Return,-0.042016666666666674
EPS Growth 5yr,0.047468399999999994
Revenue Growth 5yr,0.1592653
Dividend Growth 5yr,0.1486984
Short Int Current Month,10735767.0
Short Int Prev Month,12587506.0
Short Int Pct of Float,0.09182259999999999
Days to Cover,2.48994
Float,133.5188
Shares Outstanding,139.9891
Institutions Holding Shares,905.0
% Held by Institutions,1.036208
FCF Growth 5yr,0.2422401330456399
