,F
% Above Low,0.3232
% Held by Institutions,0.5301
52-Wk Range,['3.96 - 10.56']
Annual Dividend $,
Annual Dividend %,
Ask,5.24
Ask Size,20400.0
B/A Ratio,0.1715686274509804
B/A Size,3500x20400
Beta,1.3
Bid,5.23
Bid Size,3500.0
Closing Price,5.24
Day Change $,0.37
Day Change %,0.076
Day High,5.25
Day Low,4.95
Dividend Pay Date,03/02/20
"EPS (TTM, GAAP)",-0.76
Ex-dividend Date,01/29/20
Historical Volatility,0.474
Last (size),184.0
Last (time),6:30p ET 05/08/20
Market Cap,20.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,4.87
Short Interest,0.0415
Today's Open,4.96
Volume,101333782.0
Volume 10-day Avg,90163356.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,17.0
Growth 1yr Low Est,-2.68141592920354
Growth 1yr High Est,-1.59375
Growth 1yr Consensus Est,-2.13758296460177
Growth 2yr Low Est,-1.8196553330228227
Growth 2yr High Est,-1.9876644736842106
Growth 2yr Consensus Est,-1.9036599033535166
Growth 5yr Low Est,-1.0086550251702306
Growth 5yr High Est,-1.0784175955105395
Growth 5yr Consensus Est,-1.043536310340385
Growth 5yr Actual/Est,-0.9496515092640341
Growth 3yr Historic,-0.08856957649092481
Price/Earnings (TTM),
Price/Sales (TTM),0.12923
Price/Book (MRQ),0.67244
Price/Cash Flow (TTM),15.45745
5yr Low,3.96
5yr High,15.84
5yr Avg Return,-0.13188333333333332
EPS Growth 5yr,-0.3522759
Revenue Growth 5yr,0.0158984
Dividend Growth 5yr,
Short Int Current Month,161773230.0
Short Int Prev Month,146756617.0
Short Int Pct of Float,0.0414932
Days to Cover,1.65052
Float,3899.318
Shares Outstanding,3977.04
Institutions Holding Shares,1394.0
FCF Growth 5yr,0.06596499756063705
"Price/Earnings (TTM, GAAP)",
"PEG Ratio (TTM, GAAP)",
Gross Profit Margin (TTM),0.0571
Operating Profit Margin (TTM),-0.015
Net Profit Margin (TTM),-0.02
Annual Dividend Yield,
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),-0.26280000000000003
EPS Growth (TTM),-2.0235
Revenue Growth (MRQ),-0.1358
Revenue Growth (TTM),-0.055700000000000006
Return On Equity (TTM),-0.0908
Return On Assets (TTM),-0.011399999999999999
Return On Investment (TTM),-0.018000000000000002
Revenue Per Employee (TTM),788832.0
Total Debt/Total Capital (MRQ),0.8493
Change in Debt/Total Capital Quarter over Quarter,0.0006
Quick Ratio (MRQ),1.2
Interest Coverage (MRQ),-5.41
newConstructs,3
researchTeam,reduce
theStreet,sell
cfra,2
ford,4
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-29 00:00:00
theStreet since,2020-04-29 00:00:00
cfra since,2020-04-29 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2020-02-07 00:00:00
