,F
Price/Earnings (TTM),
Price/Sales (TTM),0.12923
Price/Book (MRQ),0.67244
Price/Cash Flow (TTM),15.45745
5yr Low,3.96
5yr High,15.84
5yr Avg Return,-0.13188333333333332
EPS Growth 5yr,-0.3522759
Revenue Growth 5yr,0.0158984
Dividend Growth 5yr,
Short Int Current Month,161773230.0
Short Int Prev Month,146756617.0
Short Int Pct of Float,0.0414932
Days to Cover,1.65052
Float,3899.318
Shares Outstanding,3977.04
Institutions Holding Shares,1394.0
% Held by Institutions,0.530057
FCF Growth 5yr,0.06596499756063705
