,F
% Above Low,0.3232
% Held by Institutions,0.5301
52-Wk Range,['3.96 - 10.56']
Annual Dividend $,
Annual Dividend %,
Ask,5.24
Ask Size,20400.0
B/A Ratio,0.1715686274509804
B/A Size,3500x20400
Beta,1.3
Bid,5.23
Bid Size,3500.0
Closing Price,5.24
Day Change $,0.37
Day Change %,0.076
Day High,5.25
Day Low,4.95
Dividend Pay Date,03/02/20
"EPS (TTM, GAAP)",-0.76
Ex-dividend Date,01/29/20
Historical Volatility,0.474
Last (size),184.0
Last (time),6:30p ET 05/08/20
Market Cap,20.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,4.87
Shares Outstanding,4.0B
Short Interest,0.0415
Today's Open,4.96
Volume,101333782.0
Volume 10-day Avg,90163356.0
Volume Past Day,(Above Average)
