,FANG
Price/Earnings (TTM),
Price/Sales (TTM),1.59315
Price/Book (MRQ),0.49673
Price/Cash Flow (TTM),4.53777
5yr Low,14.55
5yr High,140.78
5yr Avg Return,-0.026983333333333328
EPS Growth 5yr,-0.16622879999999998
Revenue Growth 5yr,0.5155832
Dividend Growth 5yr,
Short Int Current Month,9601439.0
Short Int Prev Month,8324115.0
Short Int Pct of Float,0.061121299999999996
Days to Cover,1.56128
Float,156.7102
Shares Outstanding,157.8158
Institutions Holding Shares,751.0
% Held by Institutions,0.9925039999999999
FCF Growth 5yr,-2.644931019136626
