,FAST
Price/Earnings (TTM),27.36761
Price/Sales (TTM),4.0565
Price/Book (MRQ),8.23239
Price/Cash Flow (TTM),23.01402
5yr Low,17.23
5yr High,39.31
5yr Avg Return,0.12023333333333336
EPS Growth 5yr,0.10624700000000001
Revenue Growth 5yr,0.0739457
Dividend Growth 5yr,0.1171458
Short Int Current Month,25847404.0
Short Int Prev Month,26808666.0
Short Int Pct of Float,0.0453024
Days to Cover,4.99059
Float,570.803
Shares Outstanding,572.8189
Institutions Holding Shares,1083.0
% Held by Institutions,0.828727
FCF Growth 5yr,0.10285937394479365
