,FBHS
% Below High,0.2346
% Held by Institutions,0.8818
52-Wk Range,['33.90 - 73.28']
Annual Dividend $,0.96
Annual Dividend %,0.0178
Ask,70.0
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.6
Bid,35.55
Bid Size,300.0
Closing Price,56.09
Day Change $,2.26
Day Change %,0.042
Day High,56.2
Day Low,54.82
Dividend Pay Date,2020-06-17 00:00:00
"EPS (TTM, GAAP)",3.24
Ex-dividend,2020-05-28 00:00:00
Ex-dividend Date,05/28/20
Historical Volatility,0.526
Last (size),523.0
Last (time),6:30p ET 05/08/20
Market Cap,7.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",16.62
Prev Close,53.83
Short Interest,0.0287
Today's Open,54.83
Volume,908748.0
Volume 10-day Avg,1681140.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,-0.2655367231638418
Growth 1yr High Est,-0.149171270718232
Growth 1yr Consensus Est,-0.2073539969410369
Growth 2yr Low Est,-0.04622990004345945
Growth 2yr High Est,0.10723254645906588
Growth 2yr Consensus Est,0.030501323207803216
Growth 5yr Low Est,0.01555867143877701
Growth 5yr High Est,0.09242055661474119
Growth 5yr Consensus Est,0.0539896140267591
Growth 5yr Actual/Est,0.038308029503763025
Growth 3yr Historic,0.04056497394820746
Price/Earnings (TTM),16.61866
Price/Sales (TTM),1.27165
Price/Book (MRQ),3.15048
Price/Cash Flow (TTM),12.20527
5yr Low,33.9
5yr High,73.62
5yr Avg Return,0.10658333333333334
EPS Growth 5yr,0.1331346
Revenue Growth 5yr,0.0750954
Dividend Growth 5yr,0.0869534
Short Int Current Month,3981808.0
Short Int Prev Month,3090934.0
Short Int Pct of Float,0.0286878
Days to Cover,2.34461
Float,136.5675
Shares Outstanding,137.9469
Institutions Holding Shares,773.0
FCF Growth 5yr,0.13917603211136417
"Price/Earnings (TTM, GAAP)",16.62
"PEG Ratio (TTM, GAAP)",7.23
Gross Profit Margin (TTM),0.35810000000000003
Operating Profit Margin (TTM),0.1229
Net Profit Margin (TTM),0.0781
Annual Dividend Yield,0.0178
Dividend Change %,0.1
"Dividend Growth Rate, 3 Years",0.11199999999999999
EPS Growth (MRQ),0.0447
EPS Growth (TTM),0.1688
Revenue Growth (MRQ),-0.0461
Revenue Growth (TTM),0.0506
Return On Equity (TTM),0.19829999999999998
Return On Assets (TTM),0.0724
Return On Investment (TTM),0.09029999999999999
Revenue Per Employee (TTM),236413.0
Total Debt/Total Capital (MRQ),0.5081
Change in Debt/Total Capital Quarter over Quarter,-0.0004
Quick Ratio (MRQ),0.97
Interest Coverage (MRQ),7.51
newConstructs,2
researchTeam,hold
cfra,3
theStreet,hold
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
cfra since,2018-11-16 00:00:00
theStreet since,2020-03-23 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
