,FIS
% Below High,0.1895
% Held by Institutions,0.9066
52-Wk Range,['91.68 - 158.21']
Annual Dividend $,1.4
Annual Dividend %,0.0108
Ask,134.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.7
Bid,127.5
Bid Size,200.0
Closing Price,128.23
Day Change $,-1.21
Day Change %,-0.009300000000000001
Day High,134.13
Day Low,127.62
Dividend Pay Date,2020-06-26 00:00:00
"EPS (TTM, GAAP)",0.53
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.425
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,79.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",243.15
Prev Close,129.44
Short Interest,0.016200000000000003
Today's Open,131.16
Volume,4530060.0
Volume 10-day Avg,3981490.0
Volume Past Day,(Above Average)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,-0.12199630314232901
Growth 1yr High Est,0.14336917562724016
Growth 1yr Consensus Est,0.010686436242455577
Growth 2yr Low Est,0.06426500632357235
Growth 2yr High Est,0.15162189188885522
Growth 2yr Consensus Est,0.10794344910621378
Growth 5yr Low Est,0.09176782751485252
Growth 5yr High Est,0.13774338093831046
Growth 5yr Consensus Est,0.11475560422658149
Growth 5yr Actual/Est,0.11580962329753242
Growth 3yr Historic,0.06397891558447177
Price/Earnings (TTM),243.1483
Price/Sales (TTM),7.04244
Price/Book (MRQ),1.62172
Price/Cash Flow (TTM),25.26378
5yr Low,55.11
5yr High,158.21
5yr Avg Return,0.1369166666666667
EPS Growth 5yr,-0.2265766
Revenue Growth 5yr,0.1001022
Dividend Growth 5yr,0.0782477
Short Int Current Month,9906874.0
Short Int Prev Month,8105952.0
Short Int Pct of Float,0.0161896
Days to Cover,2.34448
Float,613.3466
Shares Outstanding,617.7369
Institutions Holding Shares,1462.0
FCF Growth 5yr,0.2118533184652574
"Price/Earnings (TTM, GAAP)",243.15
"PEG Ratio (TTM, GAAP)",19.37
Gross Profit Margin (TTM),0.3555
Operating Profit Margin (TTM),0.0671
Net Profit Margin (TTM),0.0154
Annual Dividend Yield,0.0108
Dividend Change %,0.096
"Dividend Growth Rate, 3 Years",0.0962
EPS Growth (MRQ),1.0936000000000001
EPS Growth (TTM),-0.7837000000000001
Revenue Growth (MRQ),-0.079
Revenue Growth (TTM),0.3494
Return On Equity (TTM),0.005600000000000001
Return On Assets (TTM),0.0033000000000000004
Return On Investment (TTM),0.0037
Revenue Per Employee (TTM),206436.0
Total Debt/Total Capital (MRQ),0.2922
Change in Debt/Total Capital Quarter over Quarter,-0.0036
Quick Ratio (MRQ),
Interest Coverage (MRQ),4.16
theStreet,hold
newConstructs,4
researchTeam,hold
creditSuisse,outperform
cfra,4
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
theStreet since,2020-03-19 00:00:00
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
creditSuisse since,2020-01-23 00:00:00
cfra since,2019-03-18 00:00:00
ford since,2020-01-10 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
