,FIS
Price/Earnings (TTM),243.1483
Price/Sales (TTM),7.04244
Price/Book (MRQ),1.62172
Price/Cash Flow (TTM),25.26378
5yr Low,55.11
5yr High,158.21
5yr Avg Return,0.1369166666666667
EPS Growth 5yr,-0.2265766
Revenue Growth 5yr,0.1001022
Dividend Growth 5yr,0.0782477
Short Int Current Month,9906874.0
Short Int Prev Month,8105952.0
Short Int Pct of Float,0.0161896
Days to Cover,2.34448
Float,613.3466
Shares Outstanding,617.7369
Institutions Holding Shares,1462.0
% Held by Institutions,0.9065949999999999
FCF Growth 5yr,0.2118533184652574
