,FIS
% Below High,0.1895
% Held by Institutions,0.9066
52-Wk Range,['91.68 - 158.21']
Annual Dividend $,1.4
Annual Dividend %,0.0108
Ask,134.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.7
Bid,127.5
Bid Size,200.0
Closing Price,128.23
Day Change $,-1.21
Day Change %,-0.009300000000000001
Day High,134.13
Day Low,127.62
Dividend Pay Date,2020-06-26 00:00:00
"EPS (TTM, GAAP)",0.53
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.425
Last (size),1.0
Last (time),6:30p ET 05/08/20
Market Cap,79.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",243.15
Prev Close,129.44
Shares Outstanding,617.7M
Short Interest,0.016200000000000003
Today's Open,131.16
Volume,4530060.0
Volume 10-day Avg,3981490.0
Volume Past Day,(Above Average)
