,FITB
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,11.0
Growth 1yr Low Est,-1.3057553956834531
Growth 1yr High Est,-0.232394366197183
Growth 1yr Consensus Est,-0.7690748809403181
Growth 2yr Low Est,-1.8352306390181972
Growth 2yr High Est,0.07187621139682132
Growth 2yr Consensus Est,-0.8816772138106879
Growth 5yr Low Est,-0.8959664277496191
Growth 5yr High Est,0.04594500700965981
Growth 5yr Consensus Est,-0.4250107103699796
Growth 5yr Actual/Est,0.03458201969218255
Growth 3yr Historic,0.013382802595271859
