,FMC
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,0.04938271604938271
Growth 1yr High Est,0.08603896103896114
Growth 1yr Consensus Est,0.06771083854417193
Growth 2yr Low Est,0.09696026558771653
Growth 2yr High Est,0.13195819501873318
Growth 2yr Consensus Est,0.11445923030322486
Growth 5yr Low Est,0.3605202665731225
Growth 5yr High Est,0.3937698739028248
Growth 5yr Consensus Est,0.3771450702379737
Growth 5yr Actual/Est,0.3687702793197719
Growth 3yr Historic,0.32230917698684136
