,FRC
% Below High,0.1506
% Held by Institutions,1.0339
52-Wk Range,['70.06 - 122.34']
Annual Dividend $,0.8
Annual Dividend %,0.0079
Ask,123.16
Ask Size,200.0
B/A Ratio,4.0
B/A Size,800x200
Beta,1.2
Bid,102.0
Bid Size,800.0
Closing Price,103.91
Day Change $,2.03
Day Change %,0.0199
Day High,104.63
Day Low,102.83
Dividend Pay Date,2020-05-14 00:00:00
"EPS (TTM, GAAP)",5.14
Ex-dividend,2020-04-29 00:00:00
Ex-dividend Date,04/29/20
Historical Volatility,0.439
Last (size),2100.0
Last (time),6:30p ET 05/08/20
Market Cap,17.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.84
Prev Close,101.88
Short Interest,0.030899999999999997
Today's Open,103.74
Volume,784085.0
Volume 10-day Avg,876409.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-14 00:00:00
Growth Analysts,21.0
Growth 1yr Low Est,-0.10179640718562866
Growth 1yr High Est,0.044315992292870865
Growth 1yr Consensus Est,-0.028740207446378896
Growth 2yr Low Est,-0.05089820359281433
Growth 2yr High Est,0.11256390020547602
Growth 2yr Consensus Est,0.030832848306330846
Growth 5yr Low Est,0.003897283874520069
Growth 5yr High Est,0.088015040659358
Growth 5yr Consensus Est,0.045956162266939035
Growth 5yr Actual/Est,0.03812628720415606
Growth 3yr Historic,0.034555984555984576
Price/Earnings (TTM),19.83826
Price/Sales (TTM),5.05789
Price/Book (MRQ),1.89497
Price/Cash Flow (TTM),22.69976
5yr Low,56.32
5yr High,122.34
5yr Avg Return,0.11736666666666666
EPS Growth 5yr,0.1109845
Revenue Growth 5yr,0.192711
Dividend Growth 5yr,0.0679072
Short Int Current Month,5242758.0
Short Int Prev Month,6145223.0
Short Int Pct of Float,0.0309017
Days to Cover,3.7363
Float,169.5408
Shares Outstanding,171.2876
Institutions Holding Shares,795.0
FCF Growth 5yr,0.094374345449137
"Price/Earnings (TTM, GAAP)",19.84
"PEG Ratio (TTM, GAAP)",9.68
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.3295
Net Profit Margin (TTM),0.26739999999999997
Annual Dividend Yield,0.0079
Dividend Change %,0.0563
"Dividend Growth Rate, 3 Years",0.059800000000000006
EPS Growth (MRQ),-0.1349
EPS Growth (TTM),0.0408
Revenue Growth (MRQ),0.020499999999999997
Revenue Growth (TTM),0.1562
Return On Equity (TTM),0.1008
Return On Assets (TTM),0.008199999999999999
Return On Investment (TTM),
Revenue Per Employee (TTM),
Total Debt/Total Capital (MRQ),
Change in Debt/Total Capital Quarter over Quarter,-0.0013000000000000002
Quick Ratio (MRQ),
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
theStreet,buy
ford,3
cfra,
marketEdge opinion,neutralfromavoid
marketEdge,2
creditSuisse,neutral
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-06 00:00:00
theStreet since,2020-05-06 00:00:00
ford since,2020-03-06 00:00:00
cfra since,
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2019-06-14 00:00:00
