,FRC
% Below High,0.1506
% Held by Institutions,1.0339
52-Wk Range,['70.06 - 122.34']
Annual Dividend $,0.8
Annual Dividend %,0.0079
Ask,123.16
Ask Size,200.0
B/A Ratio,4.0
B/A Size,800x200
Beta,1.2
Bid,102.0
Bid Size,800.0
Closing Price,103.91
Day Change $,2.03
Day Change %,0.0199
Day High,104.63
Day Low,102.83
Dividend Pay Date,2020-05-14 00:00:00
"EPS (TTM, GAAP)",5.14
Ex-dividend,2020-04-29 00:00:00
Ex-dividend Date,04/29/20
Historical Volatility,0.439
Last (size),2100.0
Last (time),6:30p ET 05/08/20
Market Cap,17.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",19.84
Prev Close,101.88
Shares Outstanding,171.3M
Short Interest,0.030899999999999997
Today's Open,103.74
Volume,784085.0
Volume 10-day Avg,876409.0
Volume Past Day,(Below Average)
