,2015,2016,2017,2018,2019,2020,Report
high,150.54,171.08,145.8,135.68,141.35,131.56,
low,124.87,134.39,119.37,106.41,115.09,64.68,
change,0.09240000000000001,-0.0211,-0.0707,-0.113,0.0998,-0.3968,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,21.0,23.0,15.0,64.0,127.0,,Balance Sheet
"Trade Accts Recvble, Net",110.0,117.0,210.0,142.0,153.0,,Balance Sheet
Other Receivables,42.0,30.0,30.0,30.0,30.0,,Balance Sheet
"Total Receivables, Net",152.0,147.0,240.0,173.0,183.0,,Balance Sheet
Prepaid Expenses,192.0,209.0,238.0,221.0,201.0,,Balance Sheet
Total Current Assets,,,,,,,Balance Sheet
Prop./Plant/Equip. - Gross,6064.0,6725.0,7635.0,7803.0,8296.0,,Balance Sheet
Accumulated Depreciation,-1574.0,-1729.0,-1877.0,-2059.0,-2215.0,,Balance Sheet
Prop./Plant/Equip. - Net,4490.0,4996.0,5759.0,5744.0,6227.0,,Balance Sheet
Long Term Investments,42.0,15.0,24.0,27.0,29.0,,Balance Sheet
Disct. Ops. - LT Asset,0.0,34.0,0.0,17.0,2.0,,Balance Sheet
Restricted Cash - LT,,,,44.0,26.0,,Balance Sheet
Total Assets,4897.0,5423.0,6276.0,6290.0,6795.0,,Balance Sheet
Payable/Accrued,147.0,202.0,196.0,178.0,256.0,,Balance Sheet
Accrued Expenses,,,,,74.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Dividends Payable,66.0,71.0,76.0,78.0,82.0,,Balance Sheet
Security Deposits,15.0,16.0,17.0,18.0,22.0,,Balance Sheet
"Other Curr. Lblts, Total",82.0,88.0,93.0,96.0,103.0,,Balance Sheet
Total Current Liabilities,,,,,,,Balance Sheet
Long Term Debt,2556.0,2727.0,3213.0,3158.0,3357.0,,Balance Sheet
Capital Lease Obligations,72.0,72.0,72.0,72.0,72.0,,Balance Sheet
Total Long Term Debt,2627.0,2798.0,3285.0,3229.0,3429.0,,Balance Sheet
Total Debt,2627.0,2798.0,3285.0,3229.0,3429.0,,Balance Sheet
Minority Interest,255.0,243.0,266.0,258.0,241.0,,Balance Sheet
"Other Liabilities, Total",122.0,116.0,169.0,183.0,158.0,,Balance Sheet
Total Liabilities,3233.0,3447.0,4009.0,3944.0,4260.0,,Balance Sheet
Redeemable Preferred Stock,,,150.0,150.0,150.0,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",10.0,10.0,10.0,10.0,10.0,,Balance Sheet
Common Stock,1.0,1.0,1.0,1.0,1.0,,Balance Sheet
Additional Paid-In Capital,2382.0,2718.0,2855.0,3004.0,3167.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),-725.0,-750.0,-749.0,-819.0,-791.0,,Balance Sheet
"Other Equity, Total",-4.0,-3.0,0.0,0.0,-1.0,,Balance Sheet
Total Equity,1664.0,1977.0,2267.0,2346.0,2535.0,,Balance Sheet
Total Liabilities & Shareholders’ Equity,4897.0,5423.0,6276.0,6290.0,6795.0,,Balance Sheet
Ttl Comm. Shares Outs.,69.0,72.0,73.0,74.0,76.0,,Balance Sheet
Trsy. Shrs-Comm. Primary Iss.,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Shrs Out-Pref Primary Iss.,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Shrs Out-Pref Stk Iss. 2,,,0.0,0.0,0.0,,Balance Sheet
Trsry Shrs-Pref. Iss. 1,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Trsry Shrs-Pref. Iss. 2,,,0.0,0.0,0.0,,Balance Sheet
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Income Statement
Total Revenue,744.0,802.0,857.0,915.0,936.0,,Income Statement
