,FTNT
% Below High,0.0018
% Held by Institutions,0.7673000000000001
52-Wk Range,['68.87 - 137.08']
Annual Dividend $,
Annual Dividend %,
Ask,137.55
Ask Size,400.0
B/A Ratio,1.5
B/A Size,600x400
Beta,0.9
Bid,136.84
Bid Size,600.0
Closing Price,136.84
Day Change $,1.72
Day Change %,0.0127
Day High,137.08
Day Low,128.65
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.11
Ex-dividend Date,No dividend
Historical Volatility,0.509
Last (size),96.0
Last (time),4:15p ET 05/08/20
Market Cap,22.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",63.92
Prev Close,135.12
Short Interest,0.0377
Today's Open,134.23
Volume,2569128.0
Volume 10-day Avg,1767226.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-08-04 00:00:00
Growth Analysts,28.0
Growth 1yr Low Est,0.09333333333333327
Growth 1yr High Est,0.2592592592592593
Growth 1yr Consensus Est,0.17629629629629628
Growth 2yr Low Est,0.146260162601626
Growth 2yr High Est,0.224400871459695
Growth 2yr Consensus Est,0.1853305170306605
Growth 5yr Low Est,0.3270990126767092
Growth 5yr High Est,0.38659363961334264
Growth 5yr Consensus Est,0.356846326145026
Growth 5yr Actual/Est,0.35420099239810243
Growth 3yr Historic,0.27790551839464883
Price/Earnings (TTM),63.91977
Price/Sales (TTM),9.63635
Price/Book (MRQ),40.96683
Price/Cash Flow (TTM),50.29549
5yr Low,23.16
5yr High,136.85
5yr Avg Return,0.2758333333333333
EPS Growth 5yr,0.6541085
Revenue Growth 5yr,0.2285663
Dividend Growth 5yr,
Short Int Current Month,5496458.0
Short Int Prev Month,7009114.0
Short Int Pct of Float,0.0377332
Days to Cover,2.43889
Float,134.3591
Shares Outstanding,161.2121
Institutions Holding Shares,879.0
FCF Growth 5yr,0.2555678176716012
"Price/Earnings (TTM, GAAP)",63.92
"PEG Ratio (TTM, GAAP)",3.42
Gross Profit Margin (TTM),0.7693000000000001
Operating Profit Margin (TTM),0.1776
Net Profit Margin (TTM),0.1635
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.0747
EPS Growth (TTM),-0.0301
Revenue Growth (MRQ),-0.061
Revenue Growth (TTM),0.2057
Return On Equity (TTM),0.4636
Return On Assets (TTM),0.1153
Return On Investment (TTM),0.2045
Revenue Per Employee (TTM),319190.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),1.25
Interest Coverage (MRQ),
newConstructs,3
researchTeam,hold
theStreet,buy
cfra,3
creditSuisse,neutral
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,2
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-09 00:00:00
theStreet since,2017-02-03 00:00:00
cfra since,2018-07-02 00:00:00
creditSuisse since,2019-11-14 00:00:00
ford since,2019-06-28 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
