,FTNT
Price/Earnings (TTM),63.91977
Price/Sales (TTM),9.63635
Price/Book (MRQ),40.96683
Price/Cash Flow (TTM),50.29549
5yr Low,23.16
5yr High,136.85
5yr Avg Return,0.2758333333333333
EPS Growth 5yr,0.6541085
Revenue Growth 5yr,0.2285663
Dividend Growth 5yr,
Short Int Current Month,5496458.0
Short Int Prev Month,7009114.0
Short Int Pct of Float,0.0377332
Days to Cover,2.43889
Float,134.3591
Shares Outstanding,161.2121
Institutions Holding Shares,879.0
% Held by Institutions,0.7673359999999999
FCF Growth 5yr,0.2555678176716012
