,FTV
Price/Earnings (TTM),36.85185
Price/Sales (TTM),2.62265
Price/Book (MRQ),2.69408
Price/Cash Flow (TTM),19.58065
5yr Low,37.31
5yr High,89.48
5yr Avg Return,0.08662
EPS Growth 5yr,-0.0554401
Revenue Growth 5yr,0.0292544
Dividend Growth 5yr,
Short Int Current Month,7887243.0
Short Int Prev Month,6962683.0
Short Int Pct of Float,0.026684199999999998
Days to Cover,3.75562
Float,302.9626
Shares Outstanding,336.8561
Institutions Holding Shares,1014.0
% Held by Institutions,0.834488
FCF Growth 5yr,-0.019710702704258565
