,FTV
% Above Low,0.5886
% Held by Institutions,0.8345
52-Wk Range,['37.31 - 83.18']
Annual Dividend $,0.28
Annual Dividend %,0.0048
Ask,62.27
Ask Size,200.0
B/A Ratio,1.5
B/A Size,300x200
Beta,1.3
Bid,59.45
Bid Size,300.0
Closing Price,59.27
Day Change $,1.34
Day Change %,0.0231
Day High,59.52
Day Low,58.12
Dividend Pay Date,2020-06-26 00:00:00
"EPS (TTM, GAAP)",1.57
Ex-dividend,2020-05-28 00:00:00
Ex-dividend Date,05/28/20
Historical Volatility,0.43100000000000005
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,20.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",36.85
Prev Close,57.93
Shares Outstanding,336.9M
Short Interest,0.026699999999999998
Today's Open,58.55
Volume,3084647.0
Volume 10-day Avg,2427109.0
Volume Past Day,(Heavy Day)
