,GILD
Price/Earnings (TTM),19.95044
Price/Sales (TTM),4.28561
Price/Book (MRQ),4.41034
Price/Cash Flow (TTM),15.38431
5yr Low,60.32
5yr High,123.37
5yr Avg Return,-0.0366
EPS Growth 5yr,-0.1050689
Revenue Growth 5yr,-0.0204324
Dividend Growth 5yr,
Short Int Current Month,22551972.0
Short Int Prev Month,23644384.0
Short Int Pct of Float,0.017984899999999998
Days to Cover,1.53872
Float,1253.906
Shares Outstanding,1254.373
Institutions Holding Shares,2162.0
% Held by Institutions,0.790277
FCF Growth 5yr,-0.1474745135229295
