,GL
% Above Low,0.3703
% Held by Institutions,0.7664
52-Wk Range,['56.74 - 111.43']
Annual Dividend $,0.75
Annual Dividend %,0.009899999999999999
Ask,88.14
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.1
Bid,63.18
Bid Size,300.0
Closing Price,77.75
Day Change $,2.02
Day Change %,0.026699999999999998
Day High,77.75
Day Low,75.52
Dividend Pay Date,2020-05-01 00:00:00
"EPS (TTM, GAAP)",6.7
Ex-dividend,2020-04-02 00:00:00
Ex-dividend Date,04/02/20
Historical Volatility,0.459
Last (size),30600.0
Last (time),6:30p ET 05/08/20
Market Cap,8.3B
"P/E Ratio (TTM, GAAP)",11.31
Prev Close,75.73
Short Interest,0.024700000000000003
Today's Open,77.45
Volume,645465.0
Volume 10-day Avg,600341.0
Volume Past Day,(Average)
Next Earnings Announcement,2020-07-22 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,0.002958579881656931
Growth 1yr High Est,0.03823529411764692
Growth 1yr Consensus Est,0.020596936999651927
Growth 2yr Low Est,0.028027962507200077
Growth 2yr High Est,0.04815447425429087
Growth 2yr Consensus Est,0.03809121838074547
Growth 5yr Low Est,0.10957322095504773
Growth 5yr High Est,0.12014657100135734
Growth 5yr Consensus Est,0.11485989597820254
Growth 5yr Actual/Est,0.11397870267940996
Growth 3yr Historic,0.09323153933109052
Price/Earnings (TTM),11.3066
Price/Sales (TTM),1.77844
Price/Book (MRQ),1.23618
Price/Cash Flow (TTM),
5yr Low,48.47
5yr High,111.43
5yr Avg Return,0.08541666666666668
EPS Growth 5yr,0.1140307
Revenue Growth 5yr,0.045751099999999996
Dividend Growth 5yr,0.0654849
Short Int Current Month,2586890.0
Short Int Prev Month,2632197.0
Short Int Pct of Float,0.024656699999999997
Days to Cover,3.96728
Float,106.0707
Shares Outstanding,107.3972
Institutions Holding Shares,659.0
FCF Growth 5yr,0.048288303677847685
"Price/Earnings (TTM, GAAP)",11.31
"PEG Ratio (TTM, GAAP)",1.71
Gross Profit Margin (TTM),
Operating Profit Margin (TTM),0.2165
Net Profit Margin (TTM),0.162
Annual Dividend Yield,0.0099
Dividend Change %,0.07540000000000001
"Dividend Growth Rate, 3 Years",0.0687
EPS Growth (MRQ),-0.10189999999999999
EPS Growth (TTM),0.0731
Revenue Growth (MRQ),0.024900000000000002
Revenue Growth (TTM),0.0507
Return On Equity (TTM),0.11800000000000001
Return On Assets (TTM),0.029900000000000003
Return On Investment (TTM),
Revenue Per Employee (TTM),1430921.0
Total Debt/Total Capital (MRQ),0.2168
Change in Debt/Total Capital Quarter over Quarter,-0.0012
Quick Ratio (MRQ),
Interest Coverage (MRQ),19.48
newConstructs,2
researchTeam,hold
theStreet,hold
cfra,3
ford,3
creditSuisse,outperform
marketEdge,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2019-04-08 00:00:00
theStreet since,2020-03-23 00:00:00
cfra since,2019-04-18 00:00:00
ford since,2020-02-07 00:00:00
creditSuisse since,2019-09-20 00:00:00
marketEdge since,
