,GL
% Above Low,0.3703
% Held by Institutions,0.7664
52-Wk Range,['56.74 - 111.43']
Annual Dividend $,0.75
Annual Dividend %,0.009899999999999999
Ask,88.14
Ask Size,300.0
B/A Ratio,1.0
B/A Size,300x300
Beta,1.1
Bid,63.18
Bid Size,300.0
Closing Price,77.75
Day Change $,2.02
Day Change %,0.026699999999999998
Day High,77.75
Day Low,75.52
Dividend Pay Date,2020-05-01 00:00:00
"EPS (TTM, GAAP)",6.7
Ex-dividend,2020-04-02 00:00:00
Ex-dividend Date,04/02/20
Historical Volatility,0.459
Last (size),30600.0
Last (time),6:30p ET 05/08/20
Market Cap,8.3B
"P/E Ratio (TTM, GAAP)",11.31
Prev Close,75.73
Shares Outstanding,107.4M
Short Interest,0.024700000000000003
Today's Open,77.45
Volume,645465.0
Volume 10-day Avg,600341.0
Volume Past Day,(Average)
