,GM
% Above Low,0.6705
% Held by Institutions,0.7676999999999999
52-Wk Range,['14.33 - 41.90']
Annual Dividend $,
Annual Dividend %,
Ask,24.15
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.4
Bid,24.05
Bid Size,200.0
Closing Price,23.93
Day Change $,1.49
Day Change %,0.0664
Day High,24.0
Day Low,23.05
Dividend Pay Date,03/20/20
"EPS (TTM, GAAP)",3.27
Ex-dividend Date,03/05/20
Historical Volatility,0.537
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,34.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",6.86
Prev Close,22.44
Short Interest,0.0174
Today's Open,23.07
Volume,16562348.0
Volume 10-day Avg,19355375.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-29 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-1.2159827213822894
Growth 1yr High Est,-0.368836291913215
Growth 1yr Consensus Est,-0.7924095066477521
Growth 2yr Low Est,-2.1079913606911447
Growth 2yr High Est,0.20464435404339248
Growth 2yr Consensus Est,-0.9516735033238761
Growth 5yr Low Est,-1.1072663067779636
Growth 5yr High Est,0.050008757151821126
Growth 5yr Consensus Est,-0.5286287748130711
Growth 5yr Actual/Est,0.3753598129979997
Growth 3yr Historic,-0.06877038351025988
Price/Earnings (TTM),6.86432
Price/Sales (TTM),0.23776
Price/Book (MRQ),0.78319
Price/Cash Flow (TTM),1.78944
5yr Low,14.33
5yr High,46.76
5yr Avg Return,-0.041833333333333333
EPS Growth 5yr,0.2243727
Revenue Growth 5yr,-0.0252149
Dividend Growth 5yr,
Short Int Current Month,23100658.0
Short Int Prev Month,18226822.0
Short Int Pct of Float,0.0174323
Days to Cover,1.31408
Float,1329.069
Shares Outstanding,1431.077
Institutions Holding Shares,1320.0
FCF Growth 5yr,-0.020796405888936675
"Price/Earnings (TTM, GAAP)",6.86
"PEG Ratio (TTM, GAAP)",1.2
Gross Profit Margin (TTM),0.0981
Operating Profit Margin (TTM),0.0362
Net Profit Margin (TTM),0.0356
Annual Dividend Yield,
Dividend Change %,0.0
"Dividend Growth Rate, 3 Years",0.0
EPS Growth (MRQ),2.0573
EPS Growth (TTM),-0.4681
Revenue Growth (MRQ),0.0611
Revenue Growth (TTM),-0.0738
Return On Equity (TTM),0.1164
Return On Assets (TTM),0.02
Return On Investment (TTM),0.0326
Revenue Per Employee (TTM),823585.0
Total Debt/Total Capital (MRQ),0.7406
Change in Debt/Total Capital Quarter over Quarter,-0.0002
Quick Ratio (MRQ),0.95
Interest Coverage (MRQ),7.55
newConstructs,2
researchTeam,reduce
theStreet,hold
creditSuisse,outperform
cfra,2
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-03-02 00:00:00
theStreet since,2020-02-06 00:00:00
creditSuisse since,2019-06-26 00:00:00
cfra since,2020-04-08 00:00:00
ford since,2020-01-24 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
