,GPC
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.3602150537634409
Growth 1yr High Est,-0.04929577464788726
Growth 1yr Consensus Est,-0.20475541420566407
Growth 2yr Low Est,-0.04985542604138432
Growth 2yr High Est,0.010537297861241579
Growth 2yr Consensus Est,-0.01965906409007137
Growth 5yr Low Est,0.038670003608119285
Growth 5yr High Est,0.06074326011417236
Growth 5yr Consensus Est,0.04970663186114582
Growth 5yr Actual/Est,0.05754591387548186
Growth 3yr Historic,0.056474623603691154
