,GPN
% Below High,0.165
% Held by Institutions,0.9079
52-Wk Range,['105.54 - 209.62']
Annual Dividend $,0.78
Annual Dividend %,0.0045000000000000005
Ask,179.74
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,172.0
Bid Size,300.0
Closing Price,175.04
Day Change $,0.28
Day Change %,0.0016
Day High,177.41
Day Low,172.68
Dividend Pay Date,2020-06-26 00:00:00
"EPS (TTM, GAAP)",2.12
Ex-dividend,2020-06-11 00:00:00
Ex-dividend Date,06/11/20
Historical Volatility,0.509
Last (size),30.0
Last (time),6:30p ET 05/08/20
Market Cap,52.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",82.55
Prev Close,174.76
Shares Outstanding,299.0M
Short Interest,0.0154
Today's Open,176.05
Volume,1587693.0
Volume 10-day Avg,1795803.0
Volume Past Day,(Below Average)
