,GRMN
% Above Low,0.3326
% Held by Institutions,0.4816
52-Wk Range,['61.04 - 105.58']
Annual Dividend $,2.44
Annual Dividend %,0.0313
Ask,84.84
Ask Size,100.0
B/A Ratio,36.0
B/A Size,3600x100
Beta,1.0
Bid,75.0
Bid Size,3600.0
Closing Price,81.34
Day Change $,3.3
Day Change %,0.042300000000000004
Day High,81.48
Day Low,78.51
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",5.09
Ex-dividend,2020-06-12 00:00:00
Ex-dividend Date,06/12/20
Historical Volatility,0.353
Last (size),16.0
Last (time),4:15p ET 05/08/20
Market Cap,15.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",15.32
Prev Close,78.04
Shares Outstanding,191.0M
Short Interest,0.0209
Today's Open,79.5
Volume,1063919.0
Volume 10-day Avg,1096942.0
Volume Past Day,(Average)
