,GS
% Above Low,0.4168
% Held by Institutions,0.6957
52-Wk Range,['130.85 - 250.46']
Annual Dividend $,5.0
Annual Dividend %,0.0274
Ask,185.99
Ask Size,1500.0
B/A Ratio,0.06666666666666667
B/A Size,100x1500
Beta,1.4
Bid,183.5
Bid Size,100.0
Closing Price,185.39
Day Change $,3.07
Day Change %,0.0168
Day High,185.91
Day Low,182.74
Dividend Pay Date,2020-06-29 00:00:00
"EPS (TTM, GAAP)",18.41
Ex-dividend,2020-05-29 00:00:00
Ex-dividend Date,05/29/20
Historical Volatility,0.461
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,63.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.9
Prev Close,182.32
Shares Outstanding,343.9M
Short Interest,0.0155
Today's Open,185.03
Volume,2282566.0
Volume 10-day Avg,2723126.0
Volume Past Day,(Below Average)
