,GWW
Price/Earnings (TTM),19.926
Price/Sales (TTM),1.28597
Price/Book (MRQ),8.30407
Price/Cash Flow (TTM),14.5221
5yr Low,155.0
5yr High,372.06
5yr Avg Return,0.03938333333333333
EPS Growth 5yr,0.0627839
Revenue Growth 5yr,0.0288184
Dividend Growth 5yr,0.0637571
Short Int Current Month,1001692.0
Short Int Prev Month,1115867.0
Short Int Pct of Float,0.021619199999999998
Days to Cover,2.69085
Float,46.13201
Shares Outstanding,53.46794
Institutions Holding Shares,915.0
% Held by Institutions,0.7205469999999999
FCF Growth 5yr,0.04543226775887064
