,HBAN
Price/Earnings (TTM),8.44724
Price/Sales (TTM),1.78903
Price/Book (MRQ),0.79191
Price/Cash Flow (TTM),5.96812
5yr Low,6.82
5yr High,16.6
5yr Avg Return,-0.0036166666666666574
EPS Growth 5yr,0.1192228
Revenue Growth 5yr,0.1627674
Dividend Growth 5yr,0.29199400000000003
Short Int Current Month,29793620.0
Short Int Prev Month,27917927.0
Short Int Pct of Float,0.029458099999999997
Days to Cover,2.27691
Float,1012.658
Shares Outstanding,1014.218
Institutions Holding Shares,938.0
% Held by Institutions,0.744495
FCF Growth 5yr,0.11963568019582489
