,HBI
Price/Earnings (TTM),6.63205
Price/Sales (TTM),0.48395
Price/Book (MRQ),3.70915
Price/Cash Flow (TTM),5.03554
5yr Low,6.96
5yr High,34.78
5yr Avg Return,-0.15411666666666668
EPS Growth 5yr,0.1063845
Revenue Growth 5yr,0.05523310000000001
Dividend Growth 5yr,0.1486984
Short Int Current Month,56181721.0
Short Int Prev Month,57126529.0
Short Int Pct of Float,0.1589015
Days to Cover,5.83007
Float,333.9213
Shares Outstanding,348.0353
Institutions Holding Shares,814.0
% Held by Institutions,1.073528
FCF Growth 5yr,0.08179690993794078
