,HCA
Next Earnings Announcement,2020-07-21 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.9242718446601942
Growth 1yr High Est,0.07511737089201875
Growth 1yr Consensus Est,-0.4245772368840877
Growth 2yr Low Est,4.467351257157083
Growth 2yr High Est,0.1524058470180618
Growth 2yr Consensus Est,2.3098785520875724
Growth 5yr Low Est,2.370409148361521
Growth 5yr High Est,0.21344833133238678
Growth 5yr Consensus Est,1.2919287398469539
Growth 5yr Actual/Est,0.19669640568924984
Growth 3yr Historic,0.1262931015104355
