,HIG
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.2429906542056075
Growth 1yr High Est,-0.05759162303664922
Growth 1yr Consensus Est,-0.15029113862112836
Growth 2yr Low Est,-0.06593977154724817
Growth 2yr High Est,0.0036115958890827193
Growth 2yr Consensus Est,-0.031164087829082726
Growth 5yr Low Est,0.06087225713393929
Growth 5yr High Est,0.07117966041728323
Growth 5yr Consensus Est,0.06602595877561125
Growth 5yr Actual/Est,0.20537714980601088
Growth 3yr Historic,0.2212854638323697
