,HOG
% Above Low,0.499
% Held by Institutions,0.9818000000000001
52-Wk Range,['14.31 - 40.89']
Annual Dividend $,0.08
Annual Dividend %,0.0039000000000000003
Ask,21.65
Ask Size,1200.0
B/A Ratio,0.16666666666666666
B/A Size,200x1200
Beta,1.5
Bid,21.04
Bid Size,200.0
Closing Price,21.45
Day Change $,1.01
Day Change %,0.049400000000000006
Day High,21.77
Day Low,21.0
Dividend Pay Date,2020-06-12 00:00:00
"EPS (TTM, GAAP)",2.32
Ex-dividend,2020-05-21 00:00:00
Ex-dividend Date,05/21/20
Historical Volatility,0.667
Last (size),10.0
Last (time),6:30p ET 05/08/20
Market Cap,3.3B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.81
Prev Close,20.44
Shares Outstanding,153.1M
Short Interest,0.1394
Today's Open,21.08
Volume,3343317.0
Volume 10-day Avg,5225941.0
Volume Past Day,(Light)
