,HON
Price/Earnings (TTM),15.96951
Price/Sales (TTM),2.5683
Price/Book (MRQ),5.2818
Price/Cash Flow (TTM),12.96402
5yr Low,87.0
5yr High,184.06
5yr Avg Return,0.07506666666666666
EPS Growth 5yr,0.0853045
Revenue Growth 5yr,-0.018522
Dividend Growth 5yr,0.1243448
Short Int Current Month,8125552.0
Short Int Prev Month,7570595.0
Short Int Pct of Float,0.0115065
Days to Cover,2.291
Float,694.782
Shares Outstanding,701.8478
Institutions Holding Shares,2386.0
% Held by Institutions,0.748529
FCF Growth 5yr,0.0655501142655972
