,HPE
Next Earnings Announcement,2020-05-21 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.4161849710982659
Growth 1yr High Est,0.02840909090909083
Growth 1yr Consensus Est,-0.19388794009458754
Growth 2yr Low Est,-0.18829050535111314
Growth 2yr High Est,0.06116587142139618
Growth 2yr Consensus Est,-0.06356231696485848
Growth 5yr Low Est,-0.012730778991346059
Growth 5yr High Est,0.08734122739629557
Growth 5yr Consensus Est,0.03730522420247476
Growth 5yr Actual/Est,0.044265266811461756
Growth 3yr Historic,0.06024959083469722
