,HPQ,Industry,Type,Ratio to Industry
"Price/Earnings (TTM, GAAP)",7.56,20.86,Valuation,0.3624161073825503
Price/Sales (TTM),0.36,4.58,Valuation,0.07860262008733623
Price/Book (MRQ),,15.74,Valuation,
"PEG Ratio (TTM, GAAP)",1.0,1.57,Valuation,0.6369426751592356
Gross Profit Margin (TTM),0.1948,0.3764,Profitability,0.5175345377258236
Operating Profit Margin (TTM),0.065,0.2293,Profitability,0.28347143480157
Net Profit Margin (TTM),0.0506,0.2011,Profitability,0.25161611138736945
Annual Dividend Yield,0.0471,0.012,Dividend,3.9250000000000003
Dividend Change %,0.1429,0.1037,Dividend,1.37801350048216
"Dividend Growth Rate, 3 Years",0.08869999999999999,0.10869999999999999,Dividend,0.8160073597056118
EPS Growth (MRQ),0.7773000000000001,0.09570000000000001,Gowth rates,8.122257053291536
EPS Growth (TTM),-0.09480000000000001,0.133,Gowth rates,-0.7127819548872181
Revenue Growth (MRQ),-0.0512,0.0063,Gowth rates,-8.126984126984127
Revenue Growth (TTM),0.0,0.0363,Gowth rates,0.0
Return On Equity (TTM),,0.59,Effectiveness,
Return On Assets (TTM),0.0926,0.16390000000000002,Effectiveness,0.5649786455155582
Return On Investment (TTM),0.3694,0.23420000000000002,Effectiveness,1.5772843723313406
Revenue Per Employee (TTM),1047571.0,1843881.0,Effectiveness,0.5681337353115521
Total Debt/Total Capital (MRQ),1.5072999999999999,0.605,Financial strength,2.491404958677686
Change in Debt/Total Capital Quarter over Quarter,0.0,0.0004,Financial strength,0.0
Quick Ratio (MRQ),0.53,1.42,Financial strength,0.37323943661971837
Interest Coverage (MRQ),18.95,0.46,Financial strength,41.19565217391304
