,HST
% Above Low,0.408
% Held by Institutions,1.0231000000000001
52-Wk Range,['7.86 - 19.42']
Annual Dividend $,0.8
Annual Dividend %,0.0724
Ask,11.3
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.3
Bid,10.51
Bid Size,200.0
Closing Price,11.06
Day Change $,0.01
Day Change %,0.0009
Day High,11.28
Day Low,10.72
Dividend Pay Date,2020-04-15 00:00:00
"EPS (TTM, GAAP)",1.26
Ex-dividend,2020-03-30 00:00:00
Ex-dividend Date,03/30/20
Historical Volatility,0.47500000000000003
Last (size),50.0
Last (time),6:30p ET 05/08/20
Market Cap,7.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",8.8
Prev Close,11.05
Shares Outstanding,705.9M
Short Interest,0.057999999999999996
Today's Open,11.25
Volume,9927112.0
Volume 10-day Avg,11353396.0
Volume Past Day,(Below Average)
