,IBM
% Above Low,0.35810000000000003
% Held by Institutions,0.5542
52-Wk Range,['90.56 - 158.75']
Annual Dividend $,6.52
Annual Dividend %,0.0538
Ask,123.25
Ask Size,200.0
B/A Ratio,2.5
B/A Size,500x200
Beta,1.2
Bid,123.06
Bid Size,500.0
Closing Price,122.99
Day Change $,1.76
Day Change %,0.014499999999999999
Day High,123.23
Day Low,121.06
Dividend Pay Date,2020-06-10 00:00:00
"EPS (TTM, GAAP)",10.27
Ex-dividend,2020-05-07 00:00:00
Ex-dividend Date,05/07/20
Historical Volatility,0.376
Last (size),100.0
Last (time),6:30p ET 05/08/20
Market Cap,109.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",11.8
Prev Close,121.23
Shares Outstanding,887.9M
Short Interest,0.0209
Today's Open,122.67
Volume,5003939.0
Volume 10-day Avg,4788210.0
Volume Past Day,(Average)
