,ICE
% Below High,0.0825
% Held by Institutions,0.9093000000000001
52-Wk Range,['63.51 - 101.93']
Annual Dividend $,1.2
Annual Dividend %,0.0129
Ask,94.59
Ask Size,1000.0
B/A Ratio,0.1
B/A Size,100x1000
Beta,0.5
Bid,93.46
Bid Size,100.0
Closing Price,93.52
Day Change $,0.43
Day Change %,0.0046
Day High,94.7
Day Low,92.77
Dividend Pay Date,2020-06-30 00:00:00
"EPS (TTM, GAAP)",3.74
Ex-dividend,2020-06-15 00:00:00
Ex-dividend Date,06/15/20
Historical Volatility,0.365
Last (size),2.0
Last (time),6:30p ET 05/08/20
Market Cap,51.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",24.88
Prev Close,93.09
Shares Outstanding,547.2M
Short Interest,0.0104
Today's Open,94.66
Volume,2126736.0
Volume 10-day Avg,2496086.0
Volume Past Day,(Below Average)
