,IFF
Price/Earnings (TTM),32.60472
Price/Sales (TTM),2.707
Price/Book (MRQ),2.23767
Price/Cash Flow (TTM),17.75682
5yr Low,92.14
5yr High,157.4
5yr Avg Return,0.02896666666666666
EPS Growth 5yr,-0.0460165
Revenue Growth 5yr,0.1072447
Dividend Growth 5yr,0.1238302
Short Int Current Month,14795492.0
Short Int Prev Month,15247403.0
Short Int Pct of Float,0.1390038
Days to Cover,13.95928
Float,106.4868
Shares Outstanding,106.8024
Institutions Holding Shares,780.0
% Held by Institutions,1.033193
FCF Growth 5yr,0.10247463144465199
