,ILMN
% Below High,0.1862
% Held by Institutions,0.9318000000000001
52-Wk Range,['196.78 - 380.76']
Annual Dividend $,
Annual Dividend %,
Ask,315.66
Ask Size,800.0
B/A Ratio,0.25
B/A Size,200x800
Beta,0.9
Bid,310.0
Bid Size,200.0
Closing Price,309.87
Day Change $,-3.49
Day Change %,-0.0111
Day High,318.0
Day Low,308.05
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",6.34
Ex-dividend Date,No dividend
Historical Volatility,0.441
Last (size),1.0
Last (time),3:59p ET 05/08/20
Market Cap,45.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",49.42
Prev Close,313.36
Shares Outstanding,147.0M
Short Interest,0.022400000000000003
Today's Open,317.33
Volume,687146.0
Volume 10-day Avg,834436.0
Volume Past Day,(Below Average)
