,INCY
Next Earnings Announcement,2020-07-28 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-1.656
Growth 1yr High Est,-0.9565217391304348
Growth 1yr Consensus Est,-1.3062608695652174
Growth 2yr Low Est,-2.3462926829268294
Growth 2yr High Est,17.790969899665548
Growth 2yr Consensus Est,7.722338608369359
Growth 5yr Low Est,-0.9054649632210608
Growth 5yr High Est,12.324646599777033
Growth 5yr Consensus Est,5.709590818277985
Growth 5yr Actual/Est,-2.5941568878616046
Growth 3yr Historic,0.01035382101558574
