,INFO
% Below High,0.17859999999999998
% Held by Institutions,0.966
52-Wk Range,['44.81 - 81.65']
Annual Dividend $,0.68
Annual Dividend %,0.0103
Ask,77.0
Ask Size,1100.0
B/A Ratio,0.09090909090909091
B/A Size,100x1100
Beta,1.0
Bid,62.83
Bid Size,100.0
Closing Price,67.07
Day Change $,0.75
Day Change %,0.0113
Day High,67.52
Day Low,66.58
Dividend Pay Date,2020-05-15 00:00:00
"EPS (TTM, GAAP)",2.16
Ex-dividend,2020-04-29 00:00:00
Ex-dividend Date,04/29/20
Historical Volatility,0.42
Last (size),63400.0
Last (time),6:30p ET 05/08/20
Market Cap,26.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.69
Prev Close,66.32
Short Interest,0.0287
Today's Open,67.02
Volume,1485300.0
Volume 10-day Avg,1940062.0
Volume Past Day,(Light)
Next Earnings Announcement,2020-06-23 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,0.05058365758754868
Growth 1yr High Est,0.07692307692307687
Growth 1yr Consensus Est,0.06375336725531278
Growth 2yr Low Est,0.08640293990488535
Growth 2yr High Est,0.11524725274725278
Growth 2yr Consensus Est,0.10082509632606906
Growth 5yr Low Est,0.10449231962564531
Growth 5yr High Est,0.11670680574883635
Growth 5yr Consensus Est,0.11059956268724083
Growth 5yr Actual/Est,0.10955985944160213
Growth 3yr Historic,0.06368795223930973
Price/Earnings (TTM),30.69177
Price/Sales (TTM),5.94654
Price/Book (MRQ),3.16121
Price/Cash Flow (TTM),18.2255
5yr Low,24.96
5yr High,81.65
5yr Avg Return,0.1925166666666667
EPS Growth 5yr,0.1114917
Revenue Growth 5yr,0.1624491
Dividend Growth 5yr,
Short Int Current Month,10652423.0
Short Int Prev Month,12351585.0
Short Int Pct of Float,0.0286827
Days to Cover,4.30896
Float,371.1709
Shares Outstanding,398.9164
Institutions Holding Shares,838.0
FCF Growth 5yr,0.3120000683461095
"Price/Earnings (TTM, GAAP)",30.69
"PEG Ratio (TTM, GAAP)",2.7
Gross Profit Margin (TTM),0.624
Operating Profit Margin (TTM),0.3145
Net Profit Margin (TTM),0.1968
Annual Dividend Yield,0.0103
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),1.4146
EPS Growth (TTM),1.1616
Revenue Growth (MRQ),-0.0353
Revenue Growth (TTM),0.0789
Return On Equity (TTM),0.1051
Return On Assets (TTM),0.0534
Return On Investment (TTM),0.061
Revenue Per Employee (TTM),287032.0
Total Debt/Total Capital (MRQ),0.3834
Change in Debt/Total Capital Quarter over Quarter,-0.0007000000000000001
Quick Ratio (MRQ),
Interest Coverage (MRQ),3.7
newConstructs,4
researchTeam,accumulate
theStreet,buy
cfra,5
ford,2
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2017-02-21 00:00:00
cfra since,2020-03-25 00:00:00
ford since,2020-05-01 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-12-07 00:00:00
