,INTC
% Below High,0.1388
% Held by Institutions,0.6637000000000001
52-Wk Range,['42.86 - 69.29']
Annual Dividend $,1.32
Annual Dividend %,0.0223
Ask,59.74
Ask Size,2200.0
B/A Ratio,0.045454545454545456
B/A Size,100x2200
Beta,0.8
Bid,59.72
Bid Size,100.0
Closing Price,59.67
Day Change $,0.5
Day Change %,0.0085
Day High,59.78
Day Low,59.05
Dividend Pay Date,2020-06-01 00:00:00
"EPS (TTM, GAAP)",5.17
Ex-dividend,2020-05-06 00:00:00
Ex-dividend Date,05/06/20
Historical Volatility,0.489
Last (size),200.0
Last (time),4:15p ET 05/08/20
Market Cap,252.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",11.45
Prev Close,59.17
Short Interest,0.0097
Today's Open,59.67
Volume,20391091.0
Volume 10-day Avg,24723738.0
Volume Past Day,(Below Average)
Next Earnings Announcement,2020-07-23 00:00:00
Growth Analysts,35.0
Growth 1yr Low Est,-0.06208425720620825
Growth 1yr High Est,0.1353711790393013
Growth 1yr Consensus Est,0.03664346091654652
Growth 2yr Low Est,-0.0818695517709529
Growth 2yr High Est,0.10614712798118908
Growth 2yr Consensus Est,0.012138788105118092
Growth 5yr Low Est,-0.054579701180635265
Growth 5yr High Est,0.07076475198745939
Growth 5yr Consensus Est,0.008092525403412062
Growth 5yr Actual/Est,0.09579551447729695
Growth 3yr Historic,0.09675454981447362
Price/Earnings (TTM),11.44986
Price/Sales (TTM),3.30806
Price/Book (MRQ),3.28111
Price/Cash Flow (TTM),7.37144
5yr Low,24.87
5yr High,69.29
5yr Avg Return,0.11503333333333332
EPS Growth 5yr,0.15243679999999998
Revenue Growth 5yr,0.051934100000000004
Dividend Growth 5yr,0.0696104
Short Int Current Month,41348018.0
Short Int Prev Month,42348745.0
Short Int Pct of Float,0.0096655
Days to Cover,1.52638
Float,4231.641
Shares Outstanding,4234.0
Institutions Holding Shares,3196.0
FCF Growth 5yr,0.09367839654273462
"Price/Earnings (TTM, GAAP)",11.45
"PEG Ratio (TTM, GAAP)",1.26
Gross Profit Margin (TTM),0.5951
Operating Profit Margin (TTM),0.32880000000000004
Net Profit Margin (TTM),0.3002
Annual Dividend Yield,0.0223
Dividend Change %,0.05
"Dividend Growth Rate, 3 Years",0.0661
EPS Growth (MRQ),-0.16890000000000002
EPS Growth (TTM),0.18460000000000001
Revenue Growth (MRQ),-0.0189
Revenue Growth (TTM),0.069
Return On Equity (TTM),0.3025
Return On Assets (TTM),0.1641
Return On Investment (TTM),0.19399999999999998
Revenue Per Employee (TTM),683502.0
Total Debt/Total Capital (MRQ),0.3433
Change in Debt/Total Capital Quarter over Quarter,0.0023
Quick Ratio (MRQ),1.35
Interest Coverage (MRQ),47.06
newConstructs,1
researchTeam,reduce
theStreet,buy
cfra,3
ford,2
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,outperform
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-05-01 00:00:00
theStreet since,2010-10-07 00:00:00
cfra since,2019-01-25 00:00:00
ford since,2020-03-13 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,2018-04-24 00:00:00
