,IP
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,14.0
Growth 1yr Low Est,-0.6588235294117647
Growth 1yr High Est,-0.4105960264900663
Growth 1yr Consensus Est,-0.5347097779509156
Growth 2yr Low Est,-0.2397565922920893
Growth 2yr High Est,-0.113537713619565
Growth 2yr Consensus Est,-0.17664715295582714
Growth 5yr Low Est,-0.041024155964673376
Growth 5yr High Est,0.03198324535544775
Growth 5yr Consensus Est,-0.004520455304612828
Growth 5yr Actual/Est,-0.02431428815405362
Growth 3yr Historic,0.08926551694422302
