,IP
Price/Earnings (TTM),19.60383
Price/Sales (TTM),0.58017
Price/Book (MRQ),1.86748
Price/Cash Flow (TTM),6.8777
5yr Low,26.38
5yr High,66.94
5yr Avg Return,-0.030316666666666662
EPS Growth 5yr,0.1842033
Revenue Growth 5yr,-0.0107375
Dividend Growth 5yr,0.0677598
Short Int Current Month,10227103.0
Short Int Prev Month,9445864.0
Short Int Pct of Float,0.0260955
Days to Cover,2.7106
Float,392.492
Shares Outstanding,393.0413
Institutions Holding Shares,1082.0
% Held by Institutions,0.813983
FCF Growth 5yr,0.7033427734651775
