,IPG
Price/Earnings (TTM),9.55418
Price/Sales (TTM),0.62026
Price/Book (MRQ),2.50234
Price/Cash Flow (TTM),6.56417
5yr Low,11.63
5yr High,26.01
5yr Avg Return,-0.011516666666666666
EPS Growth 5yr,0.083774
Revenue Growth 5yr,0.0628216
Dividend Growth 5yr,0.19858499999999998
Short Int Current Month,22003038.0
Short Int Prev Month,21007653.0
Short Int Pct of Float,0.0568863
Days to Cover,4.21014
Float,387.0653
Shares Outstanding,389.6139
Institutions Holding Shares,748.0
% Held by Institutions,1.013211
FCF Growth 5yr,0.5760204962173097
