,IR
Next Earnings Announcement,2020-05-12 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-0.4025974025974026
Growth 1yr High Est,-0.16455696202531644
Growth 1yr Consensus Est,-0.28357718231135953
Growth 2yr Low Est,0.05957086391868993
Growth 2yr High Est,0.08817606444188719
Growth 2yr Consensus Est,0.07387346418028856
Growth 5yr Low Est,0.12141794562054717
Growth 5yr High Est,0.09341014535792355
Growth 5yr Consensus Est,0.10741404548923536
Growth 5yr Actual/Est,0.08343085111953039
Growth 3yr Historic,0.06827200577200576
