,IRM
Next Earnings Announcement,2020-07-30 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,-0.09900990099009899
Growth 1yr High Est,0.12149532710280364
Growth 1yr Consensus Est,0.011242713056352327
Growth 2yr Low Est,-0.13741703840713743
Growth 2yr High Est,0.4482476635514018
Growth 2yr Consensus Est,0.15541531257213217
Growth 5yr Low Est,-0.09583156208988591
Growth 5yr High Est,0.20230248694550654
Growth 5yr Consensus Est,0.05323546242781031
Growth 5yr Actual/Est,0.0350636179236585
Growth 3yr Historic,-0.03111285266457678
