,ISRG
% Below High,0.13119999999999998
% Held by Institutions,0.8903
52-Wk Range,['360.50 - 619.00']
Annual Dividend $,
Annual Dividend %,
Ask,540.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.9
Bid,515.01
Bid Size,100.0
Closing Price,537.77
Day Change $,1.83
Day Change %,0.0034000000000000002
Day High,544.44
Day Low,534.74
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",11.6
Ex-dividend Date,No dividend
Historical Volatility,0.42600000000000005
Last (size),5.0
Last (time),3:59p ET 05/08/20
Market Cap,62.7B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",46.21
Prev Close,535.94
Short Interest,0.026000000000000002
Today's Open,542.92
Volume,925411.0
Volume 10-day Avg,630229.0
Volume Past Day,(Heavy Day)
Next Earnings Announcement,2020-07-16 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.555735056542811
Growth 1yr High Est,-0.20477290223248656
Growth 1yr Consensus Est,-0.38025397938764877
Growth 2yr Low Est,-0.022412982816859994
Growth 2yr High Est,0.09509660793506364
Growth 2yr Consensus Est,0.03634181255910182
Growth 5yr Low Est,0.08822068193371363
Growth 5yr High Est,0.15406587663553836
Growth 5yr Consensus Est,0.121143279284626
Growth 5yr Actual/Est,0.1378288555302893
Growth 3yr Historic,0.09588122886515293
Price/Earnings (TTM),46.21447
Price/Sales (TTM),13.5743
Price/Book (MRQ),7.34605
Price/Cash Flow (TTM),38.26851
5yr Low,149.0
5yr High,619.0
5yr Avg Return,0.24171666666666666
EPS Growth 5yr,0.2553078
Revenue Growth 5yr,0.1600623
Dividend Growth 5yr,
Short Int Current Month,3006110.0
Short Int Prev Month,2393457.0
Short Int Pct of Float,0.0260263
Days to Cover,2.86911
Float,115.3622
Shares Outstanding,116.6178
Institutions Holding Shares,1401.0
FCF Growth 5yr,0.11422627064791979
"Price/Earnings (TTM, GAAP)",46.21
"PEG Ratio (TTM, GAAP)",14.67
Gross Profit Margin (TTM),0.6904000000000001
Operating Profit Margin (TTM),0.3052
Net Profit Margin (TTM),0.3028
Annual Dividend Yield,
Dividend Change %,
"Dividend Growth Rate, 3 Years",
EPS Growth (MRQ),-0.1236
EPS Growth (TTM),0.2144
Revenue Growth (MRQ),-0.13949999999999999
Revenue Growth (TTM),0.19579999999999997
Return On Equity (TTM),0.17850000000000002
Return On Assets (TTM),0.15380000000000002
Return On Investment (TTM),0.17
Revenue Per Employee (TTM),628488.0
Total Debt/Total Capital (MRQ),0.0
Change in Debt/Total Capital Quarter over Quarter,
Quick Ratio (MRQ),4.3
Interest Coverage (MRQ),
newConstructs,4
researchTeam,reduce
theStreet,buy
cfra,2
ford,3
marketEdge opinion,neutralfromavoid
marketEdge,1
creditSuisse,
newConstructs since,2020-05-08 00:00:00
researchTeam since,2020-04-18 00:00:00
theStreet since,2015-07-24 00:00:00
cfra since,2020-04-18 00:00:00
ford since,2019-11-22 00:00:00
marketEdge opinion since,2020-05-01 00:00:00
marketEdge since,2020-05-01 00:00:00
creditSuisse since,
