,2015,2016,2017,2018,2019,2020,Report
high,94.82,105.45,130.02,161.21,171.78,165.27,
low,79.93,77.8,90.37,111.57,122.5,76.91,
change,0.06280000000000001,0.1264,0.215,0.0373,0.22399999999999998,-0.2065,
Date,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,,Balance Sheet
Cash and Short Term Invs,373.0,474.0,539.0,156.0,281.0,,Balance Sheet
"Trade Accts Recvble, Gross",588.0,650.0,1190.0,1263.0,1334.0,,Balance Sheet
Prov. for Doubtful Accts,-7.0,-7.0,-13.0,-8.0,-8.0,,Balance Sheet
"Total Receivables, Net",581.0,643.0,1177.0,1281.0,1347.0,,Balance Sheet
Prepaid Expenses,62.0,85.0,125.0,139.0,125.0,,Balance Sheet
Discont. Ops.-Curr. Assets,,,543.0,0.0,,,Balance Sheet
Other Current Assets,125.0,141.0,205.0,235.0,266.0,,Balance Sheet
"Other Curr. Assets, Total",125.0,141.0,748.0,235.0,266.0,,Balance Sheet
Total Current Assets,1141.0,1343.0,2589.0,1812.0,2019.0,,Balance Sheet
Buildings,87.0,97.0,176.0,218.0,275.0,,Balance Sheet
Machinery/Equipment,148.0,166.0,189.0,211.0,256.0,,Balance Sheet
Other Prop./Plant/Equip.,39.0,43.0,67.0,85.0,807.0,,Balance Sheet
Prop./Plant/Equip. - Gross,274.0,306.0,432.0,514.0,1339.0,,Balance Sheet
Accumulated Depreciation,-166.0,-185.0,-211.0,-247.0,-291.0,,Balance Sheet
Prop./Plant/Equip. - Net,109.0,122.0,222.0,268.0,1047.0,,Balance Sheet
"Goodwill, Net",715.0,738.0,2987.0,2923.0,2938.0,,Balance Sheet
Intangibles - Gross,118.0,117.0,1483.0,1393.0,1301.0,,Balance Sheet
Accum. Intangible Amort.,-21.0,-40.0,-191.0,-350.0,-376.0,,Balance Sheet
Intangibles - Net,97.0,77.0,1292.0,1043.0,925.0,,Balance Sheet
Other Long Term Assets,80.0,60.0,163.0,122.0,143.0,,Balance Sheet
Total Assets,2169.0,2367.0,7283.0,6201.0,7151.0,,Balance Sheet
Accounts Payable,32.0,41.0,49.0,38.0,33.0,,Balance Sheet
Accrued Expenses,276.0,311.0,462.0,526.0,605.0,,Balance Sheet
Notes Payable/ST Debt,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Curr. Port. LT Dbt/Cap Ls.,35.0,30.0,380.0,166.0,140.0,,Balance Sheet
Customer Advances,901.0,989.0,1630.0,1745.0,1928.0,,Balance Sheet
Income Taxes Payable,14.0,20.0,47.0,20.0,8.0,,Balance Sheet
Other Payables,66.0,68.0,109.0,127.0,142.0,,Balance Sheet
Discontinued Operations,,,146.0,0.0,,,Balance Sheet
"Other Curr. Lblts, Total",981.0,1078.0,1932.0,1892.0,2078.0,,Balance Sheet
Total Current Liabilities,1323.0,1460.0,2823.0,2621.0,2857.0,,Balance Sheet
Total Long Term Debt,784.0,664.0,2899.0,2116.0,2044.0,,Balance Sheet
Total Debt,819.0,694.0,3279.0,2282.0,2184.0,,Balance Sheet
Deferred Income Tax,,,206.0,215.0,190.0,,Balance Sheet
Pension Benefits - Underfunded,63.0,68.0,119.0,96.0,109.0,,Balance Sheet
Other LT Liabilities,131.0,114.0,253.0,303.0,1014.0,,Balance Sheet
"Other Liabilities, Total",194.0,182.0,372.0,399.0,1122.0,,Balance Sheet
Total Liabilities,2301.0,2306.0,6300.0,5351.0,6213.0,,Balance Sheet
"Pref. Stock-Non Rdmbl, Net",0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Common Stock,0.0,0.0,0.0,0.0,0.0,,Balance Sheet
Additional Paid-In Capital,819.0,863.0,1761.0,1824.0,1899.0,,Balance Sheet
Ret. Earn.(Accum. Deficit),1451.0,1644.0,1647.0,1755.0,1989.0,,Balance Sheet
Treasury Stock - Common,-2357.0,-2397.0,-2427.0,-2689.0,-2872.0,,Balance Sheet
Cum. Trans. Adjustment,-36.0,-42.0,5.0,-26.0,-22.0,,Balance Sheet
Min. Pension Lblty Adj.,-5.0,-6.0,-6.0,-6.0,-9.0,,Balance Sheet
Other Comprehensive Income,-3.0,-1.0,2.0,-8.0,-47.0,,Balance Sheet
"Other Equity, Total",-44.0,-50.0,2.0,-40.0,-78.0,,Balance Sheet
