,ITW
Price/Earnings (TTM),20.3701
Price/Sales (TTM),3.61512
Price/Book (MRQ),21.82846
Price/Cash Flow (TTM),17.53497
5yr Low,78.79
5yr High,190.85
5yr Avg Return,0.12436666666666665
EPS Growth 5yr,0.10634489999999999
Revenue Growth 5yr,-0.0052326
Dividend Growth 5yr,0.1845675
Short Int Current Month,8997006.0
Short Int Prev Month,7729594.0
Short Int Pct of Float,0.0283838
Days to Cover,5.75177
Float,316.8539
Shares Outstanding,317.5175
Institutions Holding Shares,1596.0
% Held by Institutions,0.7828820000000001
FCF Growth 5yr,0.059519681922207246
