,IVZ
Price/Earnings (TTM),7.5171
Price/Sales (TTM),0.54136
Price/Book (MRQ),0.37094
Price/Cash Flow (TTM),5.22138
5yr Low,7.2
5yr High,41.68
5yr Avg Return,-0.18025000000000002
EPS Growth 5yr,-0.1084755
Revenue Growth 5yr,0.0345259
Dividend Growth 5yr,0.0475629
Short Int Current Month,31159979.0
Short Int Prev Month,28161041.0
Short Int Pct of Float,0.08438029999999999
Days to Cover,4.94788
Float,375.6805
Shares Outstanding,458.8957
Institutions Holding Shares,732.0
% Held by Institutions,0.7937430000000001
FCF Growth 5yr,0.28223670027682146
