,JBHT
Price/Earnings (TTM),21.48816
Price/Sales (TTM),1.12827
Price/Book (MRQ),4.62519
Price/Cash Flow (TTM),10.44315
5yr Low,63.58
5yr High,131.74
5yr Avg Return,0.05315
EPS Growth 5yr,0.0854199
Revenue Growth 5yr,0.08252050000000001
Dividend Growth 5yr,0.053874000000000005
Short Int Current Month,3391714.0
Short Int Prev Month,2719367.0
Short Int Pct of Float,0.040273
Days to Cover,3.34418
Float,84.30098
Shares Outstanding,105.4606
Institutions Holding Shares,592.0
% Held by Institutions,0.76995
FCF Growth 5yr,0.38212793917990096
